trading_date,stock_code,stock_name,current_price,price_change_pct,volume,volume_ratio,prev_volume,volume_increase_pct,ma25,price_above_ma25_pct,rsi,prev_rsi,curr_rsi,prev_rsi_signal,curr_rsi_signal,macd,macd_signal,prev_macd,curr_macd,prev_macd_signal,curr_macd_signal,macd_hist,atr,trading_strategy
20250805,352820,하이브,262000.0,0.58,166073,0.71,177197,93.72,269000.0,-2.6,,,,,,-7814.51,-8021.74,-8553.68,-7814.51,-8073.54,-8021.74,207.22,8982.14,"{'entry_price': 262000.0, 'stop_loss': {'price': 254140, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 269000, 'pct': 2.67, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 282450, 'pct': 7.81, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 246000.0, 'resistance_line': 280000.0, 'atr': 8982.142857142857, 'ma25': 269000.0, 'risk_reward_ratio': 0.89}"
20250805,012630,HDC,23400.0,3.54,292554,1.33,113957,256.72,22690.0,3.13,,,,,,140.63,106.03,81.55,140.63,97.38,106.03,34.6,1142.86,"{'entry_price': 23400.0, 'stop_loss': {'price': 22698, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 22690, 'pct': -3.03, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 23824, 'pct': 1.81, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 20500.0, 'resistance_line': 25000.0, 'atr': 1142.857142857143, 'ma25': 22690.0, 'risk_reward_ratio': -1.01}"
20250805,069260,TKG휴켐스,18190.0,0.11,85869,0.92,225570,38.07,17542.0,3.69,,,,,,252.71,252.19,225.61,252.71,252.06,252.19,0.51,533.93,"{'entry_price': 18190.0, 'stop_loss': {'price': 17644, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 17542, 'pct': -3.56, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 18419, 'pct': 1.26, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 17080.0, 'resistance_line': 18995.0, 'atr': 533.9285714285714, 'ma25': 17542.0, 'risk_reward_ratio': -1.19}"
20250805,000150,두산,617000.0,7.68,231236,1.52,96242,240.27,576360.0,7.05,,,,,,3633.69,1611.41,111.39,3633.69,1105.84,1611.41,2022.28,31500.0,"{'entry_price': 617000.0, 'stop_loss': {'price': 598490, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 576360, 'pct': -6.59, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 605178, 'pct': -1.92, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 531000.0, 'resistance_line': 631000.0, 'atr': 31500.0, 'ma25': 576360.0, 'risk_reward_ratio': -2.2}"
20250805,326030,SK바이오팜,111400.0,15.92,2788123,8.09,120093,2321.64,98488.0,13.11,,,,,,1850.23,1756.08,891.94,1850.23,1732.54,1756.08,94.15,4721.43,"{'entry_price': 111400.0, 'stop_loss': {'price': 108058, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 98488, 'pct': -11.59, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 103412, 'pct': -7.17, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 91800.0, 'resistance_line': 117000.0, 'atr': 4721.428571428572, 'ma25': 98488.0, 'risk_reward_ratio': -3.86}"
