trading_date,stock_code,stock_name,current_price,price_change_pct,volume,volume_ratio,prev_volume,volume_increase_pct,ma25,price_above_ma25_pct,rsi,prev_rsi,curr_rsi,prev_rsi_signal,curr_rsi_signal,macd,macd_signal,prev_macd,curr_macd,prev_macd_signal,curr_macd_signal,macd_hist,atr,trading_strategy
20250819,051900,LG생활건강,301500.0,1.69,41315,0.66,65277,63.29,313280.0,-3.76,,,,,,-7564.21,-7607.88,-8093.17,-7564.21,-7618.79,-7607.88,43.66,7428.57,"{'entry_price': 301500.0, 'stop_loss': {'price': 292455, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 313280, 'pct': 3.91, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 328944, 'pct': 9.1, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 290500.0, 'resistance_line': 336000.0, 'atr': 7428.571428571428, 'ma25': 313280.0, 'risk_reward_ratio': 1.3}"
20250819,000810,삼성화재,443000.0,0.45,69208,0.8,83872,82.52,447380.0,-0.98,,,,,,-2228.39,-2440.48,-2670.17,-2228.39,-2493.5,-2440.48,212.09,12267.86,"{'entry_price': 443000.0, 'stop_loss': {'price': 429710, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 447380, 'pct': 0.99, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 469749, 'pct': 6.04, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 412000.0, 'resistance_line': 474500.0, 'atr': 12267.857142857143, 'ma25': 447380.0, 'risk_reward_ratio': 0.33}"
20250819,259960,크래프톤,328000.0,4.79,225509,1.85,71102,317.16,331180.0,-0.96,,,,,,-8880.78,-9892.07,-10241.03,-8880.78,-10144.89,-9892.07,1011.29,10339.29,"{'entry_price': 328000.0, 'stop_loss': {'price': 318160, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 331180, 'pct': 0.97, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 347739, 'pct': 6.02, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 309000.0, 'resistance_line': 355000.0, 'atr': 10339.285714285714, 'ma25': 331180.0, 'risk_reward_ratio': 0.32}"
20250819,030200,KT,55400.0,0.18,402378,1.16,181110,222.17,55552.0,-0.27,,,,,,-92.48,-123.87,-144.52,-92.48,-131.72,-123.87,31.39,1228.57,"{'entry_price': 55400.0, 'stop_loss': {'price': 53738, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 55552, 'pct': 0.27, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 58329, 'pct': 5.29, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 53200.0, 'resistance_line': 57800.0, 'atr': 1228.5714285714287, 'ma25': 55552.0, 'risk_reward_ratio': 0.09}"
20250819,012330,현대모비스,302000.0,3.42,150346,0.88,93609,160.61,296640.0,1.81,,,,,,668.31,413.56,71.33,668.31,349.87,413.56,254.76,9571.43,"{'entry_price': 302000.0, 'stop_loss': {'price': 292940, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 296640, 'pct': -1.77, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 311472, 'pct': 3.14, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 279000.0, 'resistance_line': 312500.0, 'atr': 9571.42857142857, 'ma25': 296640.0, 'risk_reward_ratio': -0.59}"
20250819,251270,넷마블,60800.0,3.23,282394,0.74,147935,190.89,59684.0,1.87,,,,,,-318.02,-392.68,-534.26,-318.02,-411.34,-392.68,74.66,2439.29,"{'entry_price': 60800.0, 'stop_loss': {'price': 58976, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 59684, 'pct': -1.84, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 62668, 'pct': 3.07, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 55200.0, 'resistance_line': 64000.0, 'atr': 2439.285714285714, 'ma25': 59684.0, 'risk_reward_ratio': -0.61}"
20250819,005380,현대차,219000.0,1.15,442222,0.53,405813,108.97,213780.0,2.44,,,,,,1866.87,1710.98,1614.8,1866.87,1672.01,1710.98,155.89,5678.57,"{'entry_price': 219000.0, 'stop_loss': {'price': 212430, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 213780, 'pct': -2.38, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 224469, 'pct': 2.5, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 204500.0, 'resistance_line': 233000.0, 'atr': 5678.571428571428, 'ma25': 213780.0, 'risk_reward_ratio': -0.79}"
20250819,073240,금호타이어,4885.0,1.77,687743,1.3,378967,181.48,4750.4,2.83,,,,,,28.4,22.38,19.46,28.4,20.88,22.38,6.02,118.57,"{'entry_price': 4885.0, 'stop_loss': {'price': 4738, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 4750, 'pct': -2.76, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 4987, 'pct': 2.11, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 4560.0, 'resistance_line': 4985.0, 'atr': 118.57142857142857, 'ma25': 4750.4, 'risk_reward_ratio': -0.92}"
