trading_date,stock_code,stock_name,current_price,price_change_pct,volume,volume_ratio,prev_volume,volume_increase_pct,ma25,price_above_ma25_pct,rsi,prev_rsi,curr_rsi,prev_rsi_signal,curr_rsi_signal,macd,macd_signal,prev_macd,curr_macd,prev_macd_signal,curr_macd_signal,macd_hist,atr,trading_strategy
20250831,003030,세아제강지주,184300.0,-0.22,11536,1.12,11080,104.12,195404.0,-5.68,,,,,,-7289.27,-7413.96,-7478.17,-7289.27,-7445.14,-7413.96,124.69,6957.14,"{'entry_price': 184300.0, 'stop_loss': {'price': 178771, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 195404, 'pct': 6.02, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 205174, 'pct': 11.33, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 181000.0, 'resistance_line': 205000.0, 'atr': 6957.142857142857, 'ma25': 195404.0, 'risk_reward_ratio': 2.01}"
20250831,002790,아모레퍼시픽홀딩스,27200.0,-0.73,121483,0.99,104101,116.7,28464.0,-4.44,,,,,,-921.56,-948.06,-969.57,-921.56,-954.69,-948.06,26.5,703.57,"{'entry_price': 27200.0, 'stop_loss': {'price': 26384, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 28464, 'pct': 4.65, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 29887, 'pct': 9.88, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 26500.0, 'resistance_line': 30650.0, 'atr': 703.5714285714286, 'ma25': 28464.0, 'risk_reward_ratio': 1.55}"
20250831,004490,세방전지,62300.0,-0.8,27349,0.65,31313,87.34,65120.0,-4.33,,,,,,-1707.41,-1728.86,-1749.92,-1707.41,-1734.22,-1728.86,21.45,1435.71,"{'entry_price': 62300.0, 'stop_loss': {'price': 60431, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 65120, 'pct': 4.53, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 68376, 'pct': 9.75, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 61200.0, 'resistance_line': 66600.0, 'atr': 1435.7142857142858, 'ma25': 65120.0, 'risk_reward_ratio': 1.51}"
20250831,018260,삼성에스디에스,147300.0,-0.07,99572,0.7,119159,83.56,152356.0,-3.32,,,,,,-4243.71,-4323.7,-4397.38,-4243.71,-4343.69,-4323.7,79.99,3042.86,"{'entry_price': 147300.0, 'stop_loss': {'price': 142881, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 152356, 'pct': 3.43, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 159973, 'pct': 8.6, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 144900.0, 'resistance_line': 158000.0, 'atr': 3042.8571428571427, 'ma25': 152356.0, 'risk_reward_ratio': 1.14}"
20250831,005250,녹십자홀딩스,15140.0,-0.33,20572,0.52,31195,65.95,15512.8,-2.4,,,,,,-279.39,-283.8,-291.88,-279.39,-284.91,-283.8,4.42,315.0,"{'entry_price': 15140.0, 'stop_loss': {'price': 14685, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 15512, 'pct': 2.46, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 16288, 'pct': 7.59, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 14760.0, 'resistance_line': 16070.0, 'atr': 315.0, 'ma25': 15512.8, 'risk_reward_ratio': 0.82}"
20250831,271560,오리온,107800.0,0.56,111036,0.94,98543,112.68,109072.0,-1.17,,,,,,-1390.89,-1445.44,-1506.12,-1390.89,-1459.08,-1445.44,54.55,2328.57,"{'entry_price': 107800.0, 'stop_loss': {'price': 104566, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 109072, 'pct': 1.18, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 114525, 'pct': 6.24, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 102700.0, 'resistance_line': 112100.0, 'atr': 2328.5714285714284, 'ma25': 109072.0, 'risk_reward_ratio': 0.39}"
20250831,071050,한국금융지주,134400.0,1.59,200736,0.84,246711,81.36,135972.0,-1.16,,,,,,-2689.09,-2708.16,-3096.69,-2689.09,-2712.93,-2708.16,19.07,5135.71,"{'entry_price': 134400.0, 'stop_loss': {'price': 130368, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 135972, 'pct': 1.17, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 142770, 'pct': 6.23, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 121800.0, 'resistance_line': 148900.0, 'atr': 5135.714285714285, 'ma25': 135972.0, 'risk_reward_ratio': 0.39}"
20250831,030000,제일기획,19800.0,1.02,209662,1.03,113930,184.03,19854.0,-0.27,,,,,,-223.96,-240.98,-251.15,-223.96,-245.23,-240.98,17.02,292.86,"{'entry_price': 19800.0, 'stop_loss': {'price': 19206, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 19854, 'pct': 0.27, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 20846, 'pct': 5.29, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 19100.0, 'resistance_line': 20150.0, 'atr': 292.85714285714283, 'ma25': 19854.0, 'risk_reward_ratio': 0.09}"
20250831,268280,미원에스씨,143400.0,1.27,920,0.85,1844,49.89,143444.0,-0.03,,,,,,-1633.03,-1821.56,-1871.41,-1633.03,-1868.69,-1821.56,188.53,3471.43,"{'entry_price': 143400.0, 'stop_loss': {'price': 139098, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 143444, 'pct': 0.03, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 150616, 'pct': 5.03, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 135000.0, 'resistance_line': 147800.0, 'atr': 3471.4285714285716, 'ma25': 143444.0, 'risk_reward_ratio': 0.01}"
20250831,014680,한솔케미칼,177300.0,0.17,34576,0.84,51038,67.75,174756.0,1.46,,,,,,559.89,376.41,226.12,559.89,330.53,376.41,183.48,6614.29,"{'entry_price': 177300.0, 'stop_loss': {'price': 171981, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 174756, 'pct': -1.43, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 183493, 'pct': 3.49, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 166100.0, 'resistance_line': 180100.0, 'atr': 6614.285714285715, 'ma25': 174756.0, 'risk_reward_ratio': -0.48}"
