trading_date,stock_code,stock_name,current_price,price_change_pct,volume,volume_ratio,prev_volume,volume_increase_pct,ma25,price_above_ma25_pct,rsi,prev_rsi,curr_rsi,prev_rsi_signal,curr_rsi_signal,macd,macd_signal,prev_macd,curr_macd,prev_macd_signal,curr_macd_signal,macd_hist,atr,trading_strategy
20250811,006040,동원산업,46950.0,-1.05,60352,1.3,130776,46.15,47118.0,-0.36,,,,,,-498.57,-586.47,-618.66,-498.57,-608.45,-586.47,87.9,1900.0,"{'entry_price': 46950.0, 'stop_loss': {'price': 45541, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 47118, 'pct': 0.36, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 49473, 'pct': 5.38, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 43100.0, 'resistance_line': 49800.0, 'atr': 1900.0, 'ma25': 47118.0, 'risk_reward_ratio': 0.12}"
20250811,007070,GS리테일,17030.0,-0.99,105825,0.64,627826,16.86,16942.0,0.52,,,,,,-67.72,-84.11,-114.88,-67.72,-88.21,-84.11,16.4,479.29,"{'entry_price': 17030.0, 'stop_loss': {'price': 16519, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 16942, 'pct': -0.52, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 17789, 'pct': 4.46, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 15610.0, 'resistance_line': 18400.0, 'atr': 479.2857142857143, 'ma25': 16942.0, 'risk_reward_ratio': -0.17}"
20250811,450080,에코프로머티,54500.0,4.41,681585,1.06,413964,164.65,51432.0,5.97,,,,,,963.87,921.56,786.66,963.87,910.99,921.56,42.3,2771.43,"{'entry_price': 54500.0, 'stop_loss': {'price': 52865, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 51432, 'pct': -5.63, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 54003, 'pct': -0.91, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 48150.0, 'resistance_line': 56800.0, 'atr': 2771.4285714285716, 'ma25': 51432.0, 'risk_reward_ratio': -1.88}"
20250811,034020,두산에너빌리티,69400.0,4.52,12119383,1.59,3430734,353.26,64536.0,7.54,,,,,,1711.87,1701.78,1459.93,1711.87,1699.25,1701.78,10.1,2842.86,"{'entry_price': 69400.0, 'stop_loss': {'price': 67318, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 64536, 'pct': -7.01, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 67762, 'pct': -2.36, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 60900.0, 'resistance_line': 70000.0, 'atr': 2842.8571428571427, 'ma25': 64536.0, 'risk_reward_ratio': -2.34}"
20250811,003670,포스코퓨처엠,162900.0,8.31,958992,1.63,234881,408.29,143572.0,13.46,,,,,,5655.6,5166.95,4688.83,5655.6,5044.79,5166.95,488.64,7285.71,"{'entry_price': 162900.0, 'stop_loss': {'price': 158013, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 143572, 'pct': -11.86, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 150750, 'pct': -7.46, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 130200.0, 'resistance_line': 164600.0, 'atr': 7285.714285714285, 'ma25': 143572.0, 'risk_reward_ratio': -3.95}"
