trading_date,stock_code,stock_name,current_price,price_change_pct,volume,volume_ratio,prev_volume,volume_increase_pct,ma25,price_above_ma25_pct,rsi,prev_rsi,curr_rsi,prev_rsi_signal,curr_rsi_signal,macd,macd_signal,prev_macd,curr_macd,prev_macd_signal,curr_macd_signal,macd_hist,atr,trading_strategy
20250814,069960,현대백화점,72700.0,1.68,46891,0.74,54412,86.18,74472.0,-2.38,,,,,,-867.47,-889.12,-958.43,-867.47,-894.54,-889.12,21.66,2464.29,"{'entry_price': 72700.0, 'stop_loss': {'price': 70519, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 74472, 'pct': 2.44, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 78195, 'pct': 7.56, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 67900.0, 'resistance_line': 80800.0, 'atr': 2464.285714285714, 'ma25': 74472.0, 'risk_reward_ratio': 0.81}"
20250814,003620,KG모빌리티,3495.0,-0.57,165991,0.77,182676,90.87,3563.8,-1.93,,,,,,-37.68,-39.31,-43.02,-37.68,-39.71,-39.31,1.63,102.29,"{'entry_price': 3495.0, 'stop_loss': {'price': 3390, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 3563, 'pct': 1.97, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 3741, 'pct': 7.07, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 3300.0, 'resistance_line': 3790.0, 'atr': 102.28571428571429, 'ma25': 3563.8, 'risk_reward_ratio': 0.65}"
20250814,010130,고려아연,807000.0,1.51,18932,1.07,10529,179.81,808080.0,-0.13,,,,,,-7138.69,-7886.69,-8989.63,-7138.69,-8073.69,-7886.69,748.0,29571.43,"{'entry_price': 807000.0, 'stop_loss': {'price': 782790, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 808080, 'pct': 0.13, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 848484, 'pct': 5.14, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 745000.0, 'resistance_line': 865000.0, 'atr': 29571.428571428572, 'ma25': 808080.0, 'risk_reward_ratio': 0.04}"
20250814,302440,SK바이오사이언스,46650.0,1.52,167395,1.74,70206,238.43,46528.0,0.26,,,,,,-313.56,-365.31,-404.38,-313.56,-378.25,-365.31,51.76,1375.0,"{'entry_price': 46650.0, 'stop_loss': {'price': 45250, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 46528, 'pct': -0.26, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 48854, 'pct': 4.73, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 43300.0, 'resistance_line': 49100.0, 'atr': 1375.0, 'ma25': 46528.0, 'risk_reward_ratio': -0.09}"
20250814,011790,SKC,103000.0,2.59,276987,1.14,178379,155.28,101332.0,1.65,,,,,,-730.02,-855.2,-1040.11,-730.02,-886.49,-855.2,125.18,3064.29,"{'entry_price': 103000.0, 'stop_loss': {'price': 99910, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 101332, 'pct': -1.62, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 106398, 'pct': 3.3, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 95900.0, 'resistance_line': 111900.0, 'atr': 3064.285714285714, 'ma25': 101332.0, 'risk_reward_ratio': -0.54}"
20250814,001450,현대해상,27800.0,6.31,1088755,3.05,331441,328.49,27140.0,2.43,,,,,,3.13,-29.1,-99.98,3.13,-37.16,-29.1,32.23,842.86,"{'entry_price': 27800.0, 'stop_loss': {'price': 26966, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 27140, 'pct': -2.37, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 28497, 'pct': 2.51, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 25500.0, 'resistance_line': 28450.0, 'atr': 842.8571428571429, 'ma25': 27140.0, 'risk_reward_ratio': -0.79}"
20250814,454910,두산로보틱스,63400.0,1.6,208610,1.33,120694,172.84,61300.0,3.43,,,,,,654.18,579.04,527.77,654.18,560.26,579.04,75.14,1771.43,"{'entry_price': 63400.0, 'stop_loss': {'price': 61498, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 61300, 'pct': -3.31, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 64365, 'pct': 1.52, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 57400.0, 'resistance_line': 64000.0, 'atr': 1771.4285714285713, 'ma25': 61300.0, 'risk_reward_ratio': -1.1}"
20250814,022100,포스코DX,25600.0,4.28,552347,0.75,245348,225.13,24728.0,3.53,,,,,,116.05,76.25,22.0,116.05,66.3,76.25,39.8,1057.14,"{'entry_price': 25600.0, 'stop_loss': {'price': 24832, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 24728, 'pct': -3.41, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 25964, 'pct': 1.42, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 22500.0, 'resistance_line': 27400.0, 'atr': 1057.142857142857, 'ma25': 24728.0, 'risk_reward_ratio': -1.14}"
20250814,138040,메리츠금융지주,120800.0,6.15,768657,3.05,221309,347.32,115976.0,4.16,,,,,,-77.88,-240.29,-692.92,-77.88,-280.89,-240.29,162.4,3192.86,"{'entry_price': 120800.0, 'stop_loss': {'price': 117176, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 115976, 'pct': -3.99, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 121774, 'pct': 0.81, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 110000.0, 'resistance_line': 124800.0, 'atr': 3192.8571428571427, 'ma25': 115976.0, 'risk_reward_ratio': -1.33}"
20250814,361610,SK아이이테크놀로지,31700.0,10.45,859192,4.62,69576,1234.9,28432.0,11.49,,,,,,583.42,424.56,336.05,583.42,384.84,424.56,158.86,1353.57,"{'entry_price': 31700.0, 'stop_loss': {'price': 30749, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 28432, 'pct': -10.31, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 29853, 'pct': -5.82, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 26050.0, 'resistance_line': 32250.0, 'atr': 1353.5714285714287, 'ma25': 28432.0, 'risk_reward_ratio': -3.44}"
