trading_date,stock_code,stock_name,current_price,price_change_pct,volume,volume_ratio,ma25,rsi,atr,trading_strategy
20251020,006800,미래에셋증권,25250,17.17,9224287,2.97,21842.0,66.67,1345.36,"{'entry_price': 25250, 'stop_loss': {'price': 23987, 'pct': -5.0, 'reason': '고정 -5%', 'alternatives': [{'method': 'ATR 기반 (ATR × 2)', 'price': 22559, 'pct': -10.66}, {'method': '기술적 지지선', 'price': 19590, 'pct': -22.42}, {'method': 'MA25 기반', 'price': 21186, 'pct': -16.09}]}, 'take_profit': [{'level': 1, 'price': 26512, 'pct': 5.0, 'reason': '고정 +5%', 'action': '50% 부분 익절'}, {'level': 2, 'price': 25220, 'pct': -0.12, 'reason': '저항선', 'action': '잔량 전량 익절'}], 'support_line': 19990, 'resistance_line': 25475, 'atr': 1345.357142857143, 'risk_reward_ratio': 1.0}"
20251020,071050,한국금융지주,175700,14.02,777159,2.88,150624.0,65.98,7571.43,"{'entry_price': 175700, 'stop_loss': {'price': 166915, 'pct': -5.0, 'reason': '고정 -5%', 'alternatives': [{'method': 'ATR 기반 (ATR × 2)', 'price': 160557, 'pct': -8.62}, {'method': '기술적 지지선', 'price': 135338, 'pct': -22.97}, {'method': 'MA25 기반', 'price': 146105, 'pct': -16.84}]}, 'take_profit': [{'level': 1, 'price': 184485, 'pct': 5.0, 'reason': '고정 +5%', 'action': '50% 부분 익절'}, {'level': 2, 'price': 175230, 'pct': -0.27, 'reason': '저항선', 'action': '잔량 전량 익절'}], 'support_line': 138100, 'resistance_line': 177000, 'atr': 7571.428571428572, 'risk_reward_ratio': 1.0}"
20251020,016360,삼성증권,79000,6.18,721749,2.36,73872.0,62.98,2164.29,"{'entry_price': 79000, 'stop_loss': {'price': 75050, 'pct': -5.0, 'reason': '고정 -5%', 'alternatives': [{'method': 'ATR 기반 (ATR × 2)', 'price': 74671, 'pct': -5.48}, {'method': '기술적 지지선', 'price': 69286, 'pct': -12.3}, {'method': 'MA25 기반', 'price': 71655, 'pct': -9.3}]}, 'take_profit': [{'level': 1, 'price': 82950, 'pct': 5.0, 'reason': '고정 +5%', 'action': '50% 부분 익절'}, {'level': 2, 'price': 78507, 'pct': -0.62, 'reason': '저항선', 'action': '잔량 전량 익절'}], 'support_line': 70700, 'resistance_line': 79300, 'atr': 2164.285714285714, 'risk_reward_ratio': 1.0}"
20251020,010120,LS ELECTRIC,319500,5.79,432430,2.31,297760.0,64.97,12089.29,"{'entry_price': 319500, 'stop_loss': {'price': 303525, 'pct': -5.0, 'reason': '고정 -5%', 'alternatives': [{'method': 'ATR 기반 (ATR × 2)', 'price': 295321, 'pct': -7.57}, {'method': '기술적 지지선', 'price': 263620, 'pct': -17.49}, {'method': 'MA25 기반', 'price': 288827, 'pct': -9.6}]}, 'take_profit': [{'level': 1, 'price': 335475, 'pct': 5.0, 'reason': '고정 +5%', 'action': '50% 부분 익절'}, {'level': 2, 'price': 324967, 'pct': 1.71, 'reason': '저항선', 'action': '잔량 전량 익절'}], 'support_line': 269000, 'resistance_line': 328250, 'atr': 12089.285714285714, 'risk_reward_ratio': 1.0}"
20251020,006260,LS,197200,5.01,372647,2.15,178744.0,63.17,7585.71,"{'entry_price': 197200, 'stop_loss': {'price': 187340, 'pct': -5.0, 'reason': '고정 -5%', 'alternatives': [{'method': 'ATR 기반 (ATR × 2)', 'price': 182028, 'pct': -7.69}, {'method': '기술적 지지선', 'price': 157976, 'pct': -19.89}, {'method': 'MA25 기반', 'price': 173381, 'pct': -12.08}]}, 'take_profit': [{'level': 1, 'price': 207060, 'pct': 5.0, 'reason': '고정 +5%', 'action': '50% 부분 익절'}, {'level': 2, 'price': 197802, 'pct': 0.31, 'reason': '저항선', 'action': '잔량 전량 익절'}], 'support_line': 161200, 'resistance_line': 199800, 'atr': 7585.714285714285, 'risk_reward_ratio': 1.0}"
