trading_date,stock_code,stock_name,current_price,price_change_pct,volume,volume_ratio,prev_volume,volume_increase_pct,ma25,price_above_ma25_pct,rsi,prev_rsi,curr_rsi,prev_rsi_signal,curr_rsi_signal,macd,macd_signal,prev_macd,curr_macd,prev_macd_signal,curr_macd_signal,macd_hist,atr,trading_strategy
20250813,268280,미원에스씨,145000.0,0.07,1013,1.04,569,178.03,147544.0,-1.72,,,,,,-1894.53,-2001.6,-2091.34,-1894.53,-2028.37,-2001.6,107.07,3457.14,"{'entry_price': 145000.0, 'stop_loss': {'price': 140650, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 147544, 'pct': 1.75, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 154921, 'pct': 6.84, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 141200.0, 'resistance_line': 156500.0, 'atr': 3457.1428571428573, 'ma25': 147544.0, 'risk_reward_ratio': 0.58}"
20250813,000660,SK하이닉스,278000.0,3.35,3472694,1.08,3008648,115.42,272080.0,2.18,,,,,,-106.69,-417.05,-1256.01,-106.69,-494.64,-417.05,310.36,9428.57,"{'entry_price': 278000.0, 'stop_loss': {'price': 269660, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 272080, 'pct': -2.13, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 285684, 'pct': 2.76, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 250000.0, 'resistance_line': 289500.0, 'atr': 9428.57142857143, 'ma25': 272080.0, 'risk_reward_ratio': -0.71}"
20250813,003490,대한항공,25150.0,5.45,3683060,2.76,587227,627.2,24578.0,2.33,,,,,,35.36,22.82,-65.95,35.36,19.68,22.82,12.54,600.0,"{'entry_price': 25150.0, 'stop_loss': {'price': 24395, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 24578, 'pct': -2.27, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 25806, 'pct': 2.61, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 22950.0, 'resistance_line': 26400.0, 'atr': 600.0, 'ma25': 24578.0, 'risk_reward_ratio': -0.76}"
20250813,009420,한올바이오파마,29200.0,7.75,538932,1.39,183418,293.83,27712.0,5.37,,,,,,325.47,290.54,200.51,325.47,281.81,290.54,34.93,1335.71,"{'entry_price': 29200.0, 'stop_loss': {'price': 28324, 'pct': -3.0, 'reason': '매수가 대비 -3%'}, 'take_profit': [{'level': 1, 'price': 27712, 'pct': -5.1, 'reason': 'MA25 도달', 'action': '50% 부분 익절'}, {'level': 2, 'price': 29097, 'pct': -0.35, 'reason': 'MA25 +5% 이격', 'action': '잔량 전량 익절'}], 'support_line': 25550.0, 'resistance_line': 32000.0, 'atr': 1335.7142857142858, 'ma25': 27712.0, 'risk_reward_ratio': -1.7}"
